instance_name,year,category,family,n_vars,n_clauses,file_size_kb
1407.wcsp.log.wcnf,2020,wms,other,1706,36990,990
20-100-frag12-13.wcnf,2021,ms,other,41393,686614,15994
20-100-frag12-85.wcnf,2021,ms,other,36537,541286,12545
20-100-frag12-91.wcnf,2021,ms,other,36332,530485,12244
20-100-frag12-97.wcnf,2021,ms,other,39177,608163,14171
20-100-lambda100-48.wcnf,2021,ms,other,13254,188108,4091
20-100-lambda100-96.wcnf,2021,ms,other,13637,192728,4192
20-100-p100-49.wcnf,2021,ms,other,34351,1775621,42879
20-100-p100-54.wcnf,2021,ms,other,27302,1205392,28728
AES1-76-36.wcnf,2020,ms,aes1,21368,372403,13819
AES1-76-38.wcnf,2020,ms,aes1,21368,372398,13819
AES2-72-67.wcnf,2020,ms,aes2,21368,372421,13820
AMAZON.wcnf,2022,ms,amazon,,,41102
BTBNSL_wt-Rounded_BTWBNSL_Flag.BIC_TWBound_3.wcnf,2024,wms,btbnsl,,,1734
BTBNSL_wt-Rounded_BTWBNSL_Flag.BIC_TWBound_4.wcnf,2024,wms,btbnsl,,,1744
BTBNSL_wt-Rounded_BTWBNSL_Hepatitis.BIC_TWBound4.wcnf,2024,wms,btbnsl,,,627
BTBNSL_wt-Rounded_BTWBNSL_Horse.BIC_TWBound_2.wcnf,2024,wms,btbnsl,,,1254
BTBNSL_wt-Rounded_BTWBNSL_Water_1000_1_2.scores_TWBound_3.wcnf,2024,wms,btbnsl,,,1639
BTBNSL_wt-Rounded_BTWBNSL_Wine_TWBound_3.wcnf,2024,wms,btbnsl,,,425
BTBNSL_wt-Rounded_BTWBNSL_alarm_100_1_3.scores_TWBound_3.wcnf,2024,wms,btbnsl,,,3484
BTBNSL_wt-Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_3.wcnf,2024,wms,btbnsl,,,14214
BTBNSL_wt-Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_2.wcnf,2024,wms,btbnsl,,,7887
BTBNSL_wt-Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_3.wcnf,2024,wms,btbnsl,,,8224
BTBNSL_wt-Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_4.wcnf,2024,wms,btbnsl,,,6963
BTBNSL_wt-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,2024,wms,btbnsl,,,1610
BTBNSL_wt-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_4.wcnf,2024,wms,btbnsl,,,1619
BTBNSL_wt-Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_3.wcnf,2024,wms,btbnsl,,,1010
BrazilInstance1.xml.wcnf,2022,wms,timetabling,,,424
BrazilInstance2.xml.wcnf,2022,wms,timetabling,,,1099
BrazilInstance4.xml.wcnf,2022,wms,timetabling,,,2332
BrazilInstance5.xml.wcnf,2022,wms,timetabling,,,2378
BrazilInstance6.xml.wcnf,2022,wms,timetabling,,,2632
BrazilInstance7.xml.wcnf,2022,wms,timetabling,,,3897
CSG_wt-CSG140-140-6.wcnf,2024,wms,csg,,,27093
CSG_wt-CSGNaive140-140-6.wcnf,2024,wms,csg,,,27094
CircuitDebuggingProblems-rsdecoder-debug.dimacs.wcnf,2024,ms,circuit-debug,,,49660
CircuitDebuggingProblems-spi-debug.dimacs.wcnf,2024,ms,circuit-debug,,,41225
DBLP.wcnf,2022,ms,dblp,,,53513
FinlandSecondarySchool.xml.wcnf,2022,wms,finlandsecondaryschool,,,9950
GenHyperTW_aim-50-1_6-no-3.wcnf,2022,ms,genhypertw,,,6111
GenHyperTW_aim-50-1_6-yes1-3.wcnf,2022,ms,genhypertw,,,6267
GenHyperTW_aim-50-2_0-yes1-3.wcnf,2020,ms,genhypertw,138724,305334,7560
GenHyperTW_aim-50-3_4-yes1-3.wcnf,2022,ms,genhypertw,,,11214
GenHyperTW_atv_partial_system.wcnf,2021,ms,genhypertw,398960,1935185,65488
GenHyperTW_b01.wcnf,2022,ms,genhypertw,,,4117
GenHyperTW_clique_15.wcnf,2021,ms,genhypertw,107955,886110,27918
GenHyperTW_dubois24.wcnf,2020,ms,genhypertw,380347,865765,23063
GenHyperTW_flat30-50.wcnf,2022,ms,genhypertw,,,53160
GenHyperTW_flat30-99.wcnf,2022,ms,genhypertw,,,53162
GenHyperTW_grid4d_3.wcnf,2020,ms,genhypertw,42065,118649,2787
GenHyperTW_hole6.wcnf,2022,ms,genhypertw,,,7066
GenHyperTW_hole8.wcnf,2022,ms,genhypertw,,,35613
GenHyperTW_hole9.wcnf,2022,ms,genhypertw,,,66170
GenHyperTW_par8-3-c.wcnf,2021,ms,genhypertw,615316,1251379,32501
GenHyperTW_par8-4-c.wcnf,2022,ms,genhypertw,,,22351
GenHyperTW_par8-5-c.wcnf,2022,ms,genhypertw,,,30067
GenHyperTW_pret60_25.wcnf,2021,ms,genhypertw,210036,484716,12709
GenHyperTW_s208.wcnf,2022,ms,genhypertw,,,52220
GenHyperTW_uf20-050.wcnf,2022,ms,genhypertw,,,1402
GenHyperTW_uf20-099.wcnf,2021,ms,genhypertw,46941,75592,1482
GreeceWesternGreeceUniversityInstance4.xml.wcnf,2022,ms,timetabling,,,10728
HaplotypeAssembly-splitedReads_0.matrix.wcnf,2024,ms,haplotypeassembly,,,934
ItalyInstance1.xml.wcnf,2021,wms,italyinstance1,20851,78702,1974
ItalyInstance4.xml.wcnf,2022,wms,italyinstance4,,,24850
MANN_a27.clq.wcnf,2020,ms,mann,42,1690,18
MANN_a45.clq.wcnf,2021,wms,mann,42,1718,20
MANN_a81.clq.wcnf,2020,ms,mann,41,1638,17
MANN_a9.clq.wcnf,2020,ms,mann,45,1836,19
MLI.ionosphere_train_1_DNF_4_1.wcnf,2022,ms,mli,,,455
MLI.twitter_train_1_CNF_4_1.wcnf,2022,ms,mli,,,185156
MaxSATQueriesinInterpretableClassifiers-compas_train_5_DNF_5_1.wcnf,2024,ms,decision-tree,,,2146
MaxSATQueriesinInterpretableClassifiers-credit_train_3_DNF_3_1.wcnf,2024,ms,decision-tree,,,10031
MaxSATQueriesinInterpretableClassifiers-toms_test_5_DNF_5_1.wcnf,2024,ms,decision-tree,,,11296
MaxSATQueriesinInterpretableClassifiers-toms_train_8_DNF_2_1.wcnf,2024,ms,decision-tree,,,39798
MaxSATQueriesinInterpretableClassifiers-twitter_train_2_CNF_4_1.wcnf,2023,ms,decision-tree,,,185161
MaxSATQueriesinInterpretableClassifiers-twitter_train_3_CNF_2_1.wcnf,2024,ms,decision-tree,,,89459
MaxSATQueriesinInterpretableClassifiers-twitter_train_9_CNF_1_1.wcnf,2023,ms,decision-tree,,,43310
MaxSATQueriesinInterpretableClassifiers-wdbc_train_9_CNF_5_1.wcnf,2023,ms,decision-tree,,,746
MaxSATQueriesinInterpretableClassifiers_wt-compas_train_2_CNF_3_15.wcnf,2024,wms,decision-tree,,,1470
MaxSATQueriesinInterpretableClassifiers_wt-credit_train_8_CNF_5_20.wcnf,2023,wms,decision-tree,,,33217
MaxSATQueriesinInterpretableClassifiers_wt-heart_train_1_CNF_3_5.wcnf,2024,wms,decision-tree,,,74
MaxSATQueriesinInterpretableClassifiers_wt-pima_train_6_CNF_3_20.wcnf,2023,wms,decision-tree,,,145
MaxSATQueriesinInterpretableClassifiers_wt-toms_test_2_CNF_3_20.wcnf,2023,wms,decision-tree,,,9774
MaxSATQueriesinInterpretableClassifiers_wt-twitter_train_5_CNF_4_10.wcnf,2024,wms,decision-tree,,,185205
MinFill_R0_miles1500.wcnf,2021,ms,min-fill,130944,1019420,29891
MinFill_R0_mulsol.i.5.wcnf,2022,ms,min-fill,,,103201
MinFill_R0_myciel5.wcnf,2022,ms,min-fill,,,2516
MinFill_R0_myciel6.wcnf,2021,ms,min-fill,72105,702230,20115
MinFill_R0_myciel7.wcnf,2022,ms,min-fill,,,144586
MinFill_R0_queen11_11.wcnf,2022,ms,min-fill,,,33464
MinFill_R0_queen5_5.wcnf,2021,ms,min-fill,3725,19120,399
MinFill_R0_queen6_6.wcnf,2022,ms,min-fill,,,1105
MinFill_R0_queen7_7.wcnf,2022,ms,min-fill,,,2502
MinFill_R0_queen8_12.wcnf,2020,ms,min-fill,73632,664848,18780
MinFill_R0_queen8_8.wcnf,2021,ms,min-fill,28608,212912,5726
MinFill_R0_queen9_9.wcnf,2021,ms,min-fill,52407,431736,11912
MinFill_R1_games120.wcnf,2021,ms,min-fill,90752,968543,29076
MinFill_R3_miles1000.wcnf,2020,ms,min-fill,122896,1161776,35261
MinFill_R3_miles750.wcnf,2022,ms,min-fill,,,31641
MinFill_R4_miles500.wcnf,2022,ms,min-fill,,,25951
MinWidthCB_milan_200_12_1k_10s_1t_12.wcnf,2020,wms,min-width,11558,18005,394
MinWidthCB_mitdbsample_100_43_1k_5s_2t_7.wcnf,2020,wms,min-width,18945,28493,640
MinWidthCB_mitdbsample_200_26_1k_2s_2t_4.wcnf,2020,wms,min-width,12794,16655,347
MinWidthCB_mitdbsample_200_43_1k_10s_2t_12.wcnf,2020,wms,min-width,48050,74222,1721
MinWidthCB_mitdbsample_200_64_1k_10s_2t_12.wcnf,2022,wms,min-width,,,1893
MinWidthCB_mitdbsample_200_64_1k_10s_3t_12.wcnf,2022,wms,min-width,,,1922
MinWidthCB_mitdbsample_300_26_1k_3s_2t_5.wcnf,2022,wms,min-width,,,477
MinWidthCB_mitdbsample_300_26_1k_6s_1t_8.wcnf,2022,wms,min-width,,,713
MinWidthCB_mitdbsample_300_26_1k_6s_2t_6.wcnf,2020,wms,min-width,23914,31696,689
MinWidthCB_mitdbsample_300_32_1k_15s_2t_17.wcnf,2020,wms,min-width,54255,88751,2057
MinWidthCB_mitdbsample_300_32_1k_6s_1t_8.wcnf,2020,wms,min-width,34736,48395,1119
MinWidthCB_mitdbsample_300_32_1k_6s_2t_8.wcnf,2020,wms,min-width,34779,48604,1125
MinWidthCB_mitdbsample_300_43_1k_3s_1t_5.wcnf,2020,wms,min-width,34622,45146,995
MinWidthCB_mitdbsample_300_43_1k_3s_2t_3.wcnf,2020,wms,min-width,14542,18200,379
MinWidthCB_mitdbsample_300_64_1k_15s_2t_17.wcnf,2021,wms,min-width,110899,180914,4500
MinWidthCB_mitdbsample_300_64_1k_3s_1t_5.wcnf,2022,wms,min-width,,,1175
MinWidthCB_mitdbsample_300_64_1k_6s_1t_8.wcnf,2022,wms,min-width,,,1706
MinWidthCB_power_1000_24_1k_20s_2t_22.wcnf,2022,wms,min-width,,,2738
MinWidthCB_power_600_24_1k_12s_2t_14.wcnf,2020,wms,min-width,51054,74177,1796
MinWidthCB_power_600_24_1k_6s_1t_8.wcnf,2022,wms,min-width,,,788
MinimumWeightDominatingSetProblem_wt-bn-human-BNU_1_0025865_session_1-bg.wcnf,2024,wms,minimumweightdominatingsetproblem,,,607976
MinimumWeightDominatingSetProblem_wt-channel-500x100x100-b050.wcnf,2024,wms,minimumweightdominatingsetproblem,,,769575
MinimumWeightDominatingSetProblem_wt-delaunay_n24.wcnf,2024,wms,minimumweightdominatingsetproblem,,,1264220
MinimumWeightDominatingSetProblem_wt-hugebubbles-00020.wcnf,2024,wms,minimumweightdominatingsetproblem,,,1093725
MinimumWeightDominatingSetProblem_wt-inf-road-usa.wcnf,2024,wms,minimumweightdominatingsetproblem,,,1124809
MinimumWeightDominatingSetProblem_wt-rgg_n_2_24_s0.wcnf,2024,wms,minimumweightdominatingsetproblem,,,2603273
MinimumWeightDominatingSetProblem_wt-sc-rel9.wcnf,2024,wms,minimumweightdominatingsetproblem,,,484380
MinimumWeightDominatingSetProblem_wt-soc-livejournal-user-groups.wcnf,2024,wms,minimumweightdominatingsetproblem,,,1633942
MinimumWeightDominatingSetProblem_wt-socfb-uci-uni.wcnf,2024,wms,minimumweightdominatingsetproblem,,,3188606
MinimumWeightDominatingSetProblem_wt-web-wikipedia2009.wcnf,2024,wms,minimumweightdominatingsetproblem,,,108014
MultiDay_1.wcnf,2021,ms,multiday,169572,1108668,23478
MultiDay_1_weighted.wcnf,2021,ms,multiday,169572,1108668,23478
MultiDay_2_weighted.wcnf,2021,wms,multiday,215657,2312475,51301
MultiDay_3.wcnf,2021,ms,multiday,253930,3854064,87516
MultiDay_3_weighted.wcnf,2021,wms,multiday,253930,3854064,91081
MultiDay_4.wcnf,2021,ms,multiday,287405,5697062,131096
MultiDay_4_weighted.wcnf,2021,wms,multiday,287405,5697062,136480
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.1_1.wcnf,2024,wms,rbac,,,35331
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.1_8.wcnf,2023,wms,rbac,,,34280
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.2_0.wcnf,2023,wms,rbac,,,36736
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.3_1.wcnf,2024,wms,rbac,,,35333
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.3_9.wcnf,2024,wms,rbac,,,37085
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.4_0.wcnf,2024,wms,rbac,,,36736
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.4_1.wcnf,2024,wms,rbac,,,35333
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_1.wcnf,2023,wms,rbac,,,35333
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_6.wcnf,2024,wms,rbac,,,36735
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_7.wcnf,2024,wms,rbac,,,37081
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.6_8.wcnf,2023,wms,rbac,,,34282
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.7_0.wcnf,2024,wms,rbac,,,36703
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.7_7.wcnf,2024,wms,rbac,,,37048
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.1_9.wcnf,2024,wms,rbac,,,129
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.4_2.wcnf,2024,wms,rbac,,,143
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.5_2.wcnf,2024,wms,rbac,,,143
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_2.wcnf,2023,wms,rbac,,,143
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_6.wcnf,2023,wms,rbac,,,159
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_0.wcnf,2024,wms,rbac,,,137
